,0
799,375
800,455
801,497
802,560
803,496
804,346
805,400
806,482
807,542
808,559
809,545
810,498
811,481
812,494
813,577
814,243
815,311
816,357
817,390
818,388
819,384
820,413
821,464
822,458
823,539
824,487
825,167
826,193
827,304
828,333
829,332
830,375
831,427
832,417
833,466
834,578
835,288
836,191
837,240
838,318
839,365
840,407
841,421
842,405
843,403
844,542
845,379
846,280
847,298
848,304
849,335
850,374
851,399
852,400
853,391
854,468
855,525
856,288
857,239
858,282
859,355
860,366
861,367
862,379
863,400
864,385
865,544
866,369
867,224
868,245
869,319
870,372
871,362
872,372
873,400
874,397
875,450
876,544
877,272
878,211
879,305
880,361
881,368
882,389
883,407
884,417
885,387
886,554
887,308
888,240
889,288
890,307
891,354
892,368
893,385
894,406
895,350
896,481
897,433
898,297
899,274
900,311
901,352
902,383
903,427
904,432
905,414
906,403
907,542
908,313
909,240
910,320
911,336
912,214
913,345
914,422
915,416
916,355
917,529
918,455
919,327
920,351
921,369
922,377
923,386
924,371
925,376
926,336
927,448
928,525
929,293
930,250
931,296
932,320
933,353
934,382
935,400
936,353
937,342
938,528
939,321
940,234
941,257
942,306
943,368
944,390
945,379
946,391
947,351
948,487
949,494
950,317
951,297
952,321
953,353
954,365
955,400
956,410
957,349
958,401
959,561
960,341
961,272
962,275
963,290
964,335
965,401
966,403
967,318
968,407
969,523
970,497
971,304
972,273
973,322
974,336
975,355
976,380
977,336
978,351
979,432
980,562
981,599
982,614
983,619
984,621
985,619
986,563
987,424
988,288
989,272
990,238
991,61
992,2
993,0
994,0
995,0
996,14
997,188
998,244
999,435
1000,511
1001,578
1002,404
1003,339
1004,382
1005,447
1006,448
1007,455
1008,456
1009,407
1010,487
1011,578
1012,448
1013,290
1014,304
1015,368
1016,377
1017,385
1018,335
1019,386
1020,432
1021,491
1022,579
1023,609
1024,618
1025,619
1026,623
1027,621
1028,558
1029,385
1030,335
1031,323
1032,226
1033,56
1034,0
1035,0
1036,0
1037,0
1038,37
1039,111
1040,308
1041,427
1042,530
1043,544
1044,366
1045,367
1046,427
1047,455
1048,463
1049,399
1050,446
1051,475
1052,437
1053,572
1054,373
1055,272
1056,312
1057,364
1058,363
1059,359
1060,342
1061,435
1062,375
1063,507
1064,401
1065,296
1066,332
1067,374
1068,384
1069,369
1070,378
1071,416
1072,410
1073,419
1074,560
1075,336
1076,250
1077,278
1078,318
1079,357
1080,337
1081,411
1082,410
1083,420
1084,528
1085,419
1086,240
1087,277
1088,326
1089,361
1090,291
1091,381
1092,419
1093,415
1094,446
1095,560
1096,320
1097,245
1098,279
1099,330
1100,323
1101,336
1102,400
1103,368
1104,372
1105,529
1106,385
1107,257
1108,276
1109,316
1110,364
1111,305
1112,412
1113,448
1114,464
1115,496
1116,545
1117,285
1118,264
1119,294
1120,336
1121,333
1122,396
1123,402
1124,397
1125,370
1126,538
1127,336
1128,210
1129,246
1130,313
1131,294
1132,368
1133,423
1134,416
1135,358
1136,471
1137,498
1138,278
1139,262
1140,329
1141,270
1142,336
1143,389
1144,426
1145,439
1146,404
1147,554
1148,597
1149,611
1150,617
1151,619
1152,622
1153,593
1154,465
1155,383
1156,321
1157,295
1158,86
1159,15
1160,0
1161,0
1162,0
1163,0
1164,112
1165,246
1166,370
1167,435
1168,567
1169,371
1170,326
1171,384
1172,325
1173,430
1174,496
1175,483
1176,490
1177,495
1178,560
1179,461
1180,313
1181,288
1182,238
1183,368
1184,426
1185,438
1186,417
1187,428
1188,466
1189,550
1190,301
1191,272
1192,287
1193,304
1194,387
1195,400
1196,432
1197,407
1198,370
1199,521
1200,403
1201,245
1202,278
1203,240
1204,341
1205,386
1206,418
1207,394
1208,400
1209,475
1210,528
1211,271
1212,235
1213,194
1214,357
1215,390
1216,395
1217,421
1218,425
1219,381
1220,544
1221,358
1222,240
1223,208
1224,293
1225,369
1226,410
1227,418
1228,432
1229,369
1230,474
1231,497
1232,295
1233,185
1234,269
1235,367
1236,384
1237,400
1238,388
1239,390
1240,425
1241,563
1242,352
1243,272
1244,299
1245,340
1246,379
1247,389
1248,396
1249,395
1250,394
1251,487
1252,464
1253,263
1254,161
1255,277
1256,350
1257,378
1258,384
1259,399
1260,400
1261,409
1262,557
1263,311
1264,208
1265,194
1266,317
1267,357
1268,415
1269,379
1270,400
1271,433
1272,539
1273,446
1274,257
1275,256
1276,318
1277,349
1278,345
1279,368
1280,401
1281,391
1282,441
1283,566
1284,603
1285,615
1286,618
1287,613
1288,621
1289,587
1290,456
1291,360
1292,311
1293,228
1294,57
1295,1
1296,0
1297,0
1298,0
1299,0
1300,182
1301,309
1302,354
1303,473
1304,576
1305,290
1306,252
1307,383
1308,410
1309,432
1310,467
1311,496
1312,469
1313,403
1314,543
1315,453
1316,304
1317,309
1318,389
1319,414
1320,416
1321,402
1322,402
1323,419
1324,439
1325,529
1326,213
1327,219
1328,289
1329,379
1330,368
1331,394
1332,432
1333,415
1334,422
1335,563
1336,336
1337,260
1338,319
1339,331
1340,363
1341,399
1342,415
1343,384
1344,383
1345,498
1346,409
1347,248
1348,252
1349,320
1350,368
1351,374
1352,384
1353,415
1354,406
1355,407
1356,528
1357,325
1358,254
1359,336
1360,341
1361,374
1362,410
1363,400
1364,400
1365,384
1366,509
1367,423
1368,261
1369,247
1370,304
1371,343
1372,368
1373,380
1374,383
1375,395
1376,425
1377,534
1378,274
1379,205
1380,246
1381,301
1382,368
1383,422
1384,423
1385,413
1386,411
1387,539
1388,414
1389,256
1390,272
1391,320
1392,360
1393,379
1394,395
1395,392
1396,386
1397,427
1398,461
1399,240
1400,246
1401,304
1402,339
1403,377
1404,379
1405,385
1406,390
1407,383
1408,528
1409,400
1410,271
1411,295
1412,339
1413,357
1414,370
1415,390
1416,381
1417,373
1418,414
1419,490
1420,319
1421,288
1422,316
1423,357
1424,400
1425,404
1426,400
1427,395
1428,320
1429,530
1430,373
1431,273
1432,297
1433,335
1434,358
1435,371
1436,368
1437,393
1438,357
1439,478
1440,480
1441,223
1442,224
1443,279
1444,310
1445,298
1446,331
1447,432
1448,432
1449,416
1450,564
1451,354
1452,304
1453,304
1454,339
1455,379
1456,358
1457,410
1458,432
1459,352
1460,507
1461,476
1462,306
1463,272
1464,311
1465,330
1466,362
1467,399
1468,401
1469,344
1470,432
1471,554
1472,303
1473,271
1474,304
1475,328
1476,370
1477,395
1478,378
1479,310
1480,418
1481,542
1482,400
1483,259
1484,297
1485,341
1486,350
1487,365
1488,403
1489,401
1490,379
1491,463
1492,507
1493,224
1494,245
1495,297
1496,343
1497,373
1498,424
1499,391
1500,330
